Platform ID,Courses,Platform Name,Hyperlink Path
4683841231,"Hagenes, Wintheiser and Olson",Span,https:///sollicitudin/ut/suscipit.xml?velit=sit&vivamus=amet&vel=consectetuer&nulla=adipiscing&eget=elit&eros=proin&elementum=risus&pellentesque=praesent&quisque=lectus&porta=vestibulum&volutpat=quam&erat=sapien&quisque=varius&erat=ut&eros=blandit&viverra=non&eget=interdum&congue=in&eget=ante&semper=vestibulum&rutrum=ante&nulla=ipsum&nunc=primis&purus=in&phasellus=faucibus&in=orci&felis=luctus&donec=et&semper=ultrices&sapien=posuere&a=cubilia&libero=curae&nam=duis&dui=faucibus&proin=accumsan&leo=odio&odio=curabitur&porttitor=convallis&id=duis&consequat=consequat&in=dui&consequat=nec&ut=nisi&nulla=volutpat&sed=eleifend&accumsan=donec&felis=ut&ut=dolor
5791420862,"Konopelski, Schulist and Jaskolski",Bitchip,http:///volutpat/erat/quisque/erat/eros.js?metus=sociis&arcu=natoque&adipiscing=penatibus&molestie=et&hendrerit=magnis&at=dis&vulputate=parturient&vitae=montes&nisl=nascetur&aenean=ridiculus&lectus=mus&pellentesque=etiam&eget=vel&nunc=augue&donec=vestibulum&quis=rutrum&orci=rutrum&eget=neque&orci=aenean&vehicula=auctor&condimentum=gravida&curabitur=sem&in=praesent&libero=id&ut=massa&massa=id&volutpat=nisl&convallis=venenatis&morbi=lacinia&odio=aenean&odio=sit&elementum=amet&eu=justo&interdum=morbi&eu=ut&tincidunt=odio&in=cras&leo=mi&maecenas=pede&pulvinar=malesuada&lobortis=in&est=imperdiet&phasellus=et&sit=commodo&amet=vulputate&erat=justo&nulla=in&tempus=blandit&vivamus=ultrices&in=enim&felis=lorem&eu=ipsum&sapien=dolor
465050891,Herman-Boehm,Otcom,https:///ante/ipsum/primis/in/faucibus/orci.jpg?augue=tortor&quam=quis&sollicitudin=turpis&vitae=sed&consectetuer=ante&eget=vivamus&rutrum=tortor&at=duis&lorem=mattis&integer=egestas&tincidunt=metus&ante=aenean&vel=fermentum&ipsum=donec&praesent=ut&blandit=mauris&lacinia=eget&erat=massa&vestibulum=tempor&sed=convallis&magna=nulla&at=neque&nunc=libero&commodo=convallis&placerat=eget&praesent=eleifend&blandit=luctus&nam=ultricies&nulla=eu&integer=nibh&pede=quisque&justo=id&lacinia=justo&eget=sit&tincidunt=amet&eget=sapien&tempus=dignissim&vel=vestibulum&pede=vestibulum&morbi=ante&porttitor=ipsum&lorem=primis&id=in&ligula=faucibus&suspendisse=orci&ornare=luctus&consequat=et&lectus=ultrices&in=posuere&est=cubilia&risus=curae&auctor=nulla&sed=dapibus&tristique=dolor&in=vel&tempus=est&sit=donec&amet=odio&sem=justo&fusce=sollicitudin&consequat=ut&nulla=suscipit&nisl=a&nunc=feugiat&nisl=et&duis=eros&bibendum=vestibulum&felis=ac&sed=est&interdum=lacinia&venenatis=nisi&turpis=venenatis&enim=tristique&blandit=fusce&mi=congue&in=diam&porttitor=id&pede=ornare&justo=imperdiet&eu=sapien&massa=urna&donec=pretium&dapibus=nisl&duis=ut&at=volutpat
2995344096,"McLaughlin, Streich and Stark",Sonsing,https:///viverra/pede.aspx?augue=ut&vel=rhoncus&accumsan=aliquet&tellus=pulvinar&nisi=sed&eu=nisl&orci=nunc&mauris=rhoncus&lacinia=dui&sapien=vel&quis=sem&libero=sed&nullam=sagittis&sit=nam&amet=congue&turpis=risus&elementum=semper&ligula=porta&vehicula=volutpat&consequat=quam&morbi=pede&a=lobortis&ipsum=ligula&integer=sit&a=amet&nibh=eleifend&in=pede&quis=libero&justo=quis&maecenas=orci&rhoncus=nullam&aliquam=molestie&lacus=nibh&morbi=in&quis=lectus&tortor=pellentesque&id=at&nulla=nulla&ultrices=suspendisse&aliquet=potenti&maecenas=cras&leo=in&odio=purus&condimentum=eu&id=magna&luctus=vulputate&nec=luctus&molestie=cum&sed=sociis&justo=natoque&pellentesque=penatibus&viverra=et&pede=magnis&ac=dis&diam=parturient&cras=montes&pellentesque=nascetur&volutpat=ridiculus&dui=mus&maecenas=vivamus&tristique=vestibulum&est=sagittis&et=sapien&tempus=cum&semper=sociis&est=natoque&quam=penatibus
6393338113,"Schaefer, Mohr and Langworth",Prodder,https:///volutpat/sapien/arcu.png?quis=augue&libero=vestibulum&nullam=ante&sit=ipsum&amet=primis&turpis=in&elementum=faucibus&ligula=orci&vehicula=luctus&consequat=et&morbi=ultrices&a=posuere&ipsum=cubilia&integer=curae&a=donec&nibh=pharetra&in=magna&quis=vestibulum&justo=aliquet&maecenas=ultrices&rhoncus=erat&aliquam=tortor&lacus=sollicitudin&morbi=mi&quis=sit&tortor=amet&id=lobortis&nulla=sapien&ultrices=sapien&aliquet=non&maecenas=mi&leo=integer&odio=ac&condimentum=neque
2494291194,"Littel, Schamberger and Wolf",Fix San,https:///eget/massa.aspx?suspendisse=bibendum&potenti=imperdiet&in=nullam&eleifend=orci&quam=pede&a=venenatis&odio=non&in=sodales&hac=sed&habitasse=tincidunt&platea=eu&dictumst=felis&maecenas=fusce&ut=posuere&massa=felis&quis=sed&augue=lacus&luctus=morbi&tincidunt=sem&nulla=mauris&mollis=laoreet&molestie=ut&lorem=rhoncus&quisque=aliquet&ut=pulvinar&erat=sed&curabitur=nisl&gravida=nunc&nisi=rhoncus&at=dui&nibh=vel&in=sem&hac=sed&habitasse=sagittis&platea=nam&dictumst=congue&aliquam=risus&augue=semper&quam=porta&sollicitudin=volutpat&vitae=quam&consectetuer=pede&eget=lobortis&rutrum=ligula&at=sit&lorem=amet&integer=eleifend&tincidunt=pede&ante=libero&vel=quis&ipsum=orci&praesent=nullam&blandit=molestie&lacinia=nibh&erat=in&vestibulum=lectus&sed=pellentesque&magna=at&at=nulla&nunc=suspendisse&commodo=potenti&placerat=cras&praesent=in&blandit=purus&nam=eu&nulla=magna&integer=vulputate&pede=luctus&justo=cum&lacinia=sociis&eget=natoque&tincidunt=penatibus&eget=et&tempus=magnis&vel=dis
1778078524,Johnson-Bahringer,Home Ing,https:///tortor/risus/dapibus/augue/vel.xml?donec=convallis&odio=duis&justo=consequat&sollicitudin=dui&ut=nec&suscipit=nisi&a=volutpat&feugiat=eleifend&et=donec&eros=ut&vestibulum=dolor&ac=morbi&est=vel&lacinia=lectus&nisi=in&venenatis=quam&tristique=fringilla&fusce=rhoncus&congue=mauris&diam=enim&id=leo&ornare=rhoncus&imperdiet=sed&sapien=vestibulum&urna=sit&pretium=amet&nisl=cursus&ut=id&volutpat=turpis&sapien=integer&arcu=aliquet&sed=massa&augue=id&aliquam=lobortis&erat=convallis&volutpat=tortor&in=risus&congue=dapibus&etiam=augue&justo=vel&etiam=accumsan&pretium=tellus
73629219,Boyle-Hoppe,Cookley,https:///nullam/porttitor.jpg?ac=vestibulum&enim=ac&in=est&tempor=lacinia&turpis=nisi&nec=venenatis&euismod=tristique&scelerisque=fusce&quam=congue&turpis=diam&adipiscing=id&lorem=ornare&vitae=imperdiet&mattis=sapien&nibh=urna&ligula=pretium&nec=nisl&sem=ut&duis=volutpat&aliquam=sapien&convallis=arcu&nunc=sed&proin=augue&at=aliquam&turpis=erat&a=volutpat&pede=in&posuere=congue&nonummy=etiam&integer=justo&non=etiam&velit=pretium&donec=iaculis&diam=justo&neque=in&vestibulum=hac&eget=habitasse&vulputate=platea&ut=dictumst&ultrices=etiam&vel=faucibus&augue=cursus&vestibulum=urna&ante=ut&ipsum=tellus&primis=nulla&in=ut&faucibus=erat&orci=id&luctus=mauris&et=vulputate&ultrices=elementum&posuere=nullam&cubilia=varius&curae=nulla&donec=facilisi&pharetra=cras&magna=non&vestibulum=velit&aliquet=nec&ultrices=nisi&erat=vulputate&tortor=nonummy&sollicitudin=maecenas&mi=tincidunt&sit=lacus&amet=at&lobortis=velit&sapien=vivamus&sapien=vel&non=nulla&mi=eget&integer=eros&ac=elementum&neque=pellentesque&duis=quisque&bibendum=porta&morbi=volutpat&non=erat&quam=quisque&nec=erat
1270316974,"Friesen, Strosin and Jacobson",Cardify,https:///proin/risus/praesent/lectus/vestibulum/quam.jpg?in=tortor&felis=quis&eu=turpis&sapien=sed&cursus=ante&vestibulum=vivamus&proin=tortor&eu=duis&mi=mattis&nulla=egestas&ac=metus&enim=aenean&in=fermentum&tempor=donec&turpis=ut&nec=mauris&euismod=eget&scelerisque=massa&quam=tempor&turpis=convallis&adipiscing=nulla&lorem=neque&vitae=libero&mattis=convallis&nibh=eget&ligula=eleifend&nec=luctus&sem=ultricies&duis=eu&aliquam=nibh&convallis=quisque&nunc=id&proin=justo&at=sit&turpis=amet&a=sapien&pede=dignissim&posuere=vestibulum&nonummy=vestibulum&integer=ante&non=ipsum&velit=primis&donec=in&diam=faucibus
9469203593,Barton-Boyle,Daltfresh,http:///sollicitudin/mi/sit.jpg?ipsum=pede&aliquam=libero&non=quis&mauris=orci&morbi=nullam&non=molestie&lectus=nibh&aliquam=in&sit=lectus&amet=pellentesque&diam=at&in=nulla&magna=suspendisse&bibendum=potenti&imperdiet=cras&nullam=in&orci=purus&pede=eu&venenatis=magna&non=vulputate&sodales=luctus&sed=cum&tincidunt=sociis&eu=natoque&felis=penatibus&fusce=et&posuere=magnis&felis=dis&sed=parturient&lacus=montes&morbi=nascetur&sem=ridiculus&mauris=mus&laoreet=vivamus&ut=vestibulum&rhoncus=sagittis&aliquet=sapien&pulvinar=cum&sed=sociis&nisl=natoque&nunc=penatibus&rhoncus=et&dui=magnis&vel=dis&sem=parturient&sed=montes&sagittis=nascetur&nam=ridiculus&congue=mus&risus=etiam&semper=vel&porta=augue&volutpat=vestibulum&quam=rutrum&pede=rutrum&lobortis=neque&ligula=aenean&sit=auctor&amet=gravida&eleifend=sem&pede=praesent&libero=id&quis=massa&orci=id&nullam=nisl&molestie=venenatis&nibh=lacinia&in=aenean&lectus=sit&pellentesque=amet&at=justo&nulla=morbi&suspendisse=ut&potenti=odio&cras=cras&in=mi&purus=pede&eu=malesuada&magna=in&vulputate=imperdiet&luctus=et&cum=commodo&sociis=vulputate&natoque=justo&penatibus=in&et=blandit&magnis=ultrices&dis=enim&parturient=lorem&montes=ipsum&nascetur=dolor&ridiculus=sit&mus=amet&vivamus=consectetuer&vestibulum=adipiscing&sagittis=elit&sapien=proin
4016065607,Heaney and Sons,Cookley,http:///rhoncus/aliquam/lacus/morbi/quis/tortor/id.jsp?eget=tincidunt&elit=eget&sodales=tempus&scelerisque=vel&mauris=pede&sit=morbi
9006467715,Littel-Schiller,It,https:///sed/lacus/morbi.aspx?primis=a&in=feugiat&faucibus=et&orci=eros&luctus=vestibulum&et=ac&ultrices=est&posuere=lacinia&cubilia=nisi&curae=venenatis&mauris=tristique&viverra=fusce&diam=congue&vitae=diam&quam=id&suspendisse=ornare&potenti=imperdiet&nullam=sapien
